Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group_,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Gang,Gang_Ideology,Gang_Age_Joined,Gang_Radicalize,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
1000,Illinois,Chicago,Florida,Broward County,5/8/2002,14,,,1,2,1,3,1,2,0,5,1,3,3,2,al-Qaeda core,,,1,2,3,,0,0,1,36,1,2,1,0,0,1,0,0,0,11,,,Florida,Fort Lauderdale,,,1,1,2,6,4,-99,-99,1,,,,0,0,-99,1,-99,0,42,2,2,2,1,7,1,1/1/1992,0,-88,United States of America,0,United States of America,504,0,-88,-88,-88,1,1,-99,4,-99,2,0,0,0,1,0,0,0,-99,,,0,-99,0,1,-99,-99,-99,-99,1,2,3,0,0,0,0,0,0,3,1,0,3,1,0,3,3,0,0,0,0,0
1001,Afghanistan,-99,,,11/25/2001,-88,,,-88,-88,-88,-88,-88,0,1,7,1,3,3,2,Taliban,,,0,-88,,,2,-99,1,24,1,1,1,1,1,1,0,0,0,11,,,California,San Francisco,,,1,1,1,10,5,-99,-99,0,,,,0,0,0,1,0,2,20,1,0,-88,1,7,1,1/1/1997,0,-88,United States of America,0,United States of America,240,0,-88,-88,-88,2,1,-99,3,-88,-99,0,0,2,-99,-99,0,0,-99,,,-99,-99,0,-99,1,1,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,,,-99,0,0,-88,-88,-88,-99,-99,1,-99,-99
1002,California,Santa Ana,,,5/1/1997,-99,2,,-99,-99,-99,-99,-99,-99,1,10,1,2,7,2,al-Qaeda core,,,1,0,,,1,-99,2,180,1,2,1,1,1,1,0,0,0,11,,,California,Santa Ana,,,1,1,2,10,5,0,0,0,,,,0,0,0,1,1,2,28,2,1,1,1,4,1,1/1/1995,0,-88,United States of America,0,United States of America,228,0,-88,-88,-88,2,0,-88,0,-99,2,0,0,1,1,-99,0,0,-88,,,0,0,0,0,0,2,3,3,0,0,3,1,0,0,0,-99,3,,,1,3,0,-88,-88,-88,-99,-99,1,1,-99
1005,New York,New York,,,4/10/1993,1,,,2,2,0,3,-88,4,1,10,1,3,3,1,-88,,,-99,-99,,,0,0,1,-99,1,2,2,-88,-99,1,0,0,0,11,,,New Jersey,-99,,,0,0,-99,10,5,1,1,0,,,,0,1,0,1,0,3,25,2,1,-99,1,4,0,-88,0,-88,United States of America,1,Kuwait,84,1,Kuwait,1,0,4,0,-88,0,0,3,0,0,1,2,0,0,0,-88,,,0,0,2,1,1,2,0,0,0,0,3,0,0,0,0,0,3,,,0,0,0,-88,-88,-88,-99,-99,1,-99,-99
1006,New York,New York,,,3/4/1993,1,,,2,2,0,3,-88,4,1,10,1,3,3,1,-88,,,1,2,,,1,0,1,60,1,2,2,-88,-99,1,0,0,0,11,,,New Jersey,Jersey City,,,0,0,1,10,5,1,1,-99,,,,0,-99,0,1,0,3,25,-99,-99,-99,1,4,0,-88,0,-88,Jordan,4,Palestine; Jordan,60,1,Palestine,1,2,4,0,-88,-99,-99,-99,0,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,2,3,-99,-99,-99,-99,-99,-99,,,-99,-99,0,-88,-88,-88,-99,0,1,3,-99
1010,New York,New York,,,3/1/2003,14,19,,2,2,1,3,-99,2,1,7,1,2,1,2,al-Qaeda core,,,1,0,,,0,0,2,108,1,1,1,-99,-99,1,0,0,0,11,,,New York,-99,Florida,-99,1,1,2,10,5,0,0,1,,,,0,0,0,-99,-99,3,27,2,1,1,1,4,0,-88,0,-88,United States of America,1,Saudi Arabia,324,1,Saudi Arabia,1,2,4,0,-88,0,-99,3,0,-99,1,1,-99,0,0,-88,,,0,0,0,1,1,2,1,2,-99,-99,3,2,0,-99,-99,0,5,,,0,-99,0,-88,-88,-88,0,0,1,-99,3
1013,New York,Lackawanna,,,9/10/2002,-88,,,-88,-88,-88,-88,-88,0,0,5,1,3,0,2,al-Qaeda core,,,1,0,2,,2,0,1,16,1,2,2,0,1,1,0,0,0,11,,,New York,Lackawanna,,,0,1,1,8,2,0,0,0,,,,1,1,2,1,0,3,23,2,0,-88,1,0,0,-88,-99,-99,United States of America,0,United States of America,96,1,Yemen,-88,2,2,0,-88,2,-88,-99,0,0,1,1,-99,0,0,-88,,,0,1,0,1,1,1,0,0,-99,-99,2,0,0,-99,-99,1,0,3,,0,1,0,-88,-88,-88,0,0,0,0,0
1014,New York,Lackawanna,,,9/15/2002,-88,,,-88,-88,-88,-88,-88,0,0,5,1,3,0,2,al-Qaeda core,,,1,0,,,2,0,1,18,1,2,2,0,1,1,0,0,0,11,,,New York,Lackawanna,,,0,0,-99,6,2,0,0,0,,,,0,1,0,0,0,3,28,2,3,-99,1,3,0,-88,-99,-99,United States of America,0,United States of America,336,0,-88,-88,-88,4,0,-88,0,-99,3,0,0,1,1,-99,0,0,-99,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,0,0,0,3,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
1015,New York,Lackawanna,,,10/21/2002,-88,,,-88,-88,-88,-88,-88,0,0,5,1,3,3,2,al-Qaeda core,,,-99,-99,,,2,0,1,15,1,2,2,0,1,1,0,0,0,11,,,New York,Buffalo,,,-99,1,1,8,-99,-99,-99,-99,,,,-99,-99,-99,-99,0,3,26,2,3,-99,1,4,0,-88,-99,-99,United States of America,0,United States of America,312,0,-88,-88,-88,2,0,-88,0,-99,3,0,0,1,1,-99,0,0,-99,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,0,0,0,-99,,,-99,-99,0,-88,-88,-88,-99,-99,-99,-99,-99
1016,New York,Lackawanna,,,9/18/2002,-88,,,-88,-88,-88,-88,-88,0,0,5,1,3,0,2,al-Qaeda core,,,1,0,,,2,0,1,15,1,2,2,0,1,1,0,0,0,11,,,New York,Lackawanna,,,0,0,1,8,2,0,0,0,,,,0,1,0,1,0,3,25,2,1,4,1,4,0,-88,1,1/1/2001,United States of America,0,United States of America,300,0,Yemen ,-88,2,4,0,-88,0,-99,3,0,0,1,1,-99,0,0,-99,,,-99,-99,-99,-99,1,1,0,0,-99,-99,2,0,0,0,0,-99,3,0,,-99,-99,0,-88,-88,-88,-99,-99,0,0,-99
