state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
AK,0.6700000167,0.4300000072,0.6399999857,0.5,0.5699999928,0.5299999714,0.6100000143,0.8100000024,1.320000052,1.960000038,2.980000019,2.519999981,2.420000076,1.99000001,1.370000005,0.9200000167,0.8500000238,0.9300000072
AL,1.100000024,1.080000043,1.389999986,1.519999981,1.570000052,1.480000019,1.409999967,1.210000038,1.850000024,2.809999943,4.099999905,3.910000086,3.309999943,3.049999952,2.460000038,2.25,1.830000043,1.409999967
AR,1.309999943,1.279999971,1.679999948,1.649999976,1.320000052,1.330000043,1.24000001,1.210000038,1.710000038,2.529999971,3.720000029,3.440000057,3.359999895,3.410000086,2.5,2.00999999,1.690000057,1.129999995
AZ,0.75,0.8199999928,1.029999971,1.169999957,1.049999952,0.9800000191,0.5199999809,0.7300000191,2.890000105,7.21999979,12.77000046,10.89000034,7.699999809,4.929999828,2.680000067,1.99000001,1.480000019,1.049999952
CA,0.7099999785,0.5799999833,0.6299999952,0.5600000024,0.4300000072,0.3400000036,0.349999994,0.9800000191,3.74000001,7.920000076,12.75,10.51000023,7.619999886,5,2.799999952,1.940000057,1.210000038,0.8700000048
CO,0.4499999881,0.4399999976,0.7400000095,1.049999952,1.200000048,1.279999971,1.309999943,1.679999948,2.359999895,2.910000086,4.510000229,4.079999924,3.460000038,2.569999933,1.409999967,1.090000033,0.7900000215,0.6100000143
CT,0.8399999738,0.7699999809,0.9399999976,0.8600000143,0.7799999714,0.6899999976,0.6200000048,0.9200000167,1.879999995,3.420000076,6.289999962,6.679999828,6.789999962,6.239999771,5.400000095,4.139999866,3.269999981,2.5
DC,1.419999957,1.320000052,0.9800000191,0.8100000024,0.7300000191,0.5299999714,0.4199999869,0.4600000083,1.620000005,2.660000086,5.119999886,4.289999962,4.5,4.420000076,3.279999971,2.869999886,2.279999971,1.49000001
DE,1.139999986,1.00999999,1.220000029,1.340000033,1.450000048,1.399999976,1.149999976,1.440000057,2.079999924,3.670000076,5.75,6.75,6.03000021,5.449999809,4.409999847,3.819999933,3.680000067,2.900000095
FL,1.299999952,1.309999943,1.50999999,1.389999986,1.210000038,0.9499999881,0.6899999976,1.25,5.21999979,13.18999958,20.73999977,20.03000069,18.84000015,15.93999958,11.03999996,6.960000038,3.869999886,2.349999905
GA,0.9700000286,1.070000052,1.539999962,1.580000043,1.74000001,1.659999967,1.600000024,1.75999999,2.940000057,4.369999886,7.25,6.769999981,5.71999979,4.75,3.25,2.49000001,1.919999957,1.5
HI,2.130000114,1.519999981,1.169999957,0.75,0.5799999833,0.4199999869,0.3000000119,0.6700000167,1.379999995,3.339999914,7.239999771,6.670000076,6.070000172,5.659999847,4.46999979,3.390000105,2.779999971,1.570000052
IA,0.6899999976,0.7599999905,1.149999976,1.299999952,1.179999948,1.210000038,1.129999995,1.25,1.580000043,2.039999962,2.869999886,2.650000095,2.470000029,2.220000029,1.809999943,1.49000001,1.149999976,1.00999999
ID,0.8799999952,1.289999962,1.279999971,1.24000001,1.389999986,1.25,0.7400000095,0.7099999785,1.919999957,3.599999905,6.599999905,5.900000095,4.659999847,4.159999847,2.700000048,1.860000014,1.210000038,0.9800000191
IL,1.070000052,1.210000038,1.409999967,1.460000038,1.299999952,1.25999999,1.179999948,1.600000024,2.940000057,4.710000038,8.199999809,8.300000191,8.199999809,7.019999981,4.840000153,3.50999999,2.529999971,1.929999948
IN,1.230000019,1.559999943,2.039999962,2.390000105,2.349999905,2.319999933,2.230000019,2.339999914,3.059999943,3.720000029,5.190000057,4.590000153,4.340000153,3.75,2.74000001,2.210000038,1.870000005,1.480000019
KS,0.7799999714,0.8500000238,1.049999952,1.019999981,1.210000038,1.289999962,1.200000048,1.370000005,1.629999995,2.170000076,3.200000048,3.079999924,2.880000114,2.329999924,1.840000033,1.75,1.200000048,0.9599999785
KY,1.090000033,1.25999999,1.659999967,1.789999962,1.879999995,1.74000001,1.720000029,1.74000001,2.049999952,2.680000067,3.779999971,3.579999924,3.569999933,3.00999999,2.390000105,2.019999981,1.639999986,1.460000038
