  state, Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
   450 ,  520 ,  600 ,  580 ,  680 ,  1730 ,  1910 ,  2250 ,  2340 ,  2530 ,  2850 ,  3140 ,  3390 ,  3680 ,  3630 ,  3640 ,  3610 ,  3660 ,
   350 ,  400 ,  500 ,  490 ,  880 ,  1090 ,  1240 ,  1490 ,  1770 ,  2160 ,  2470 ,  2790 ,  2990 ,  3370 ,  3620 ,  3980 ,  4180 ,  4390 ,
   350 ,  370 ,  540 ,  570 ,  710 ,  1010 ,  1160 ,  1460 ,  1690 ,  1990 ,  2260 ,  2620 ,  2840 ,  3190 ,  3440 ,  3720 ,  3830 ,  4100 ,
   520 ,  600 ,  710 ,  770 ,  1080 ,  1520 ,  1670 ,  1930 ,  2170 ,  2500 ,  2890 ,  3220 ,  3420 ,  3890 ,  4030 ,  4310 ,  4470 ,  4690 ,
   550 ,  580 ,  670 ,  690 ,  970 ,  1340 ,  1480 ,  1780 ,  2000 ,  2350 ,  2650 ,  2960 ,  3140 ,  3510 ,  3720 ,  3890 ,  4010 ,  4190 ,
   830 ,  900 ,  1020 ,  960 ,  1380 ,  1790 ,  1930 ,  2290 ,  2520 ,  3240 ,  3630 ,  4000 ,  4280 ,  4720 ,  4910 ,  5150 ,  5300 ,  5630 ,
   640 ,  660 ,  750 ,  780 ,  1010 ,  1550 ,  1770 ,  2210 ,  2500 ,  2950 ,  3250 ,  3660 ,  3890 ,  4170 ,  4600 ,  4760 ,  5060 ,  5470 ,
   1470 ,  1600 ,  2020 ,  2200 ,  3120 ,  4350 ,  4560 ,  5900 ,  6430 ,  7420 ,  7920 ,  8700 ,  9640 ,  10670 ,  10880 ,  11260 ,  11780 ,  12200 ,
   370 ,  420 ,  620 ,  690 ,  990 ,  1350 ,  1460 ,  1920 ,  2200 ,  2570 ,  2900 ,  3340 ,  3630 ,  4090 ,  4370 ,  4600 ,  4880 ,  5290 ,
   360 ,  420 ,  560 ,  580 ,  840 ,  1150 ,  1320 ,  1580 ,  1840 ,  2260 ,  2590 ,  2940 ,  3210 ,  3630 ,  3840 ,  4090 ,  4220 ,  4480 ,
   410 ,  500 ,  670 ,  690 ,  1110 ,  1440 ,  1670 ,  2060 ,  2410 ,  2900 ,  3330 ,  3830 ,  4210 ,  4770 ,  5140 ,  5640 ,  5870 ,  6340 ,
   420 ,  410 ,  540 ,  530 ,  730 ,  960 ,  1090 ,  1360 ,  1500 ,  1800 ,  2020 ,  2270 ,  2350 ,  2690 ,  2920 ,  3010 ,  3150 ,  3240 ,
   690 ,  720 ,  920 ,  1040 ,  1500 ,  1830 ,  2040 ,  2400 ,  2760 ,  3260 ,  3570 ,  3880 ,  4170 ,  4490 ,  4710 ,  4810 ,  4900 ,  5120 ,
   400 ,  430 ,  540 ,  600 ,  1240 ,  1450 ,  1680 ,  2020 ,  2170 ,  2400 ,  2840 ,  3160 ,  3340 ,  3920 ,  4260 ,  4360 ,  4560 ,  4690 ,
   560 ,  590 ,  750 ,  730 ,  1150 ,  1570 ,  1750 ,  2200 ,  2520 ,  2950 ,  3310 ,  3720 ,  4030 ,  4400 ,  4700 ,  4950 ,  5100 ,  5400 ,
   450 ,  470 ,  620 ,  490 ,  950 ,  1300 ,  1480 ,  1830 ,  2120 ,  2680 ,  3030 ,  3490 ,  3790 ,  4070 ,  4300 ,  4540 ,  4700 ,  4900 ,
   600 ,  640 ,  790 ,  780 ,  1140 ,  1630 ,  1840 ,  2160 ,  2490 ,  3060 ,  3320 ,  3630 ,  3920 ,  4380 ,  4540 ,  4840 ,  4950 ,  5160 ,
   350 ,  410 ,  520 ,  510 ,  830 ,  1020 ,  1180 ,  1450 ,  1740 ,  2180 ,  2500 ,  2850 ,  3080 ,  3500 ,  3670 ,  3940 ,  4170 ,  4390 ,
   520 ,  560 ,  710 ,  680 ,  990 ,  1550 ,  1690 ,  1970 ,  2190 ,  2560 ,  2910 ,  3130 ,  3390 ,  3750 ,  4030 ,  4340 ,  4500 ,  4810 ,
   850 ,  900 ,  1070 ,  1170 ,  1400 ,  2050 ,  2250 ,  2740 ,  3070 ,  3600 ,  3900 ,  4380 ,  4580 ,  4860 ,  5170 ,  5310 ,  5630 ,  5830 ,
   590 ,  640 ,  820 ,  850 ,  1250 ,  1790 ,  1970 ,  2380 ,  2620 ,  3060 ,  3520 ,  4040 ,  4270 ,  4730 ,  5110 ,  5480 ,  5670 ,  6010 ,
   670 ,  670 ,  860 ,  920 ,  1190 ,  1340 ,  1460 ,  1880 ,  2230 ,  3050 ,  3360 ,  3600 ,  3720 ,  3970 ,  4210 ,  4450 ,  4760 ,  5050 ,
   450 ,  460 ,  610 ,  590 ,  1120 ,  1420 ,  1600 ,  1920 ,  2190 ,  2700 ,  3120 ,  3500 ,  3800 ,  4240 ,  4540 ,  4840 ,  4940 ,  5280 ,
   600 ,  690 ,  950 ,  1050 ,  1430 ,  1840 ,  2080 ,  2450 ,  2900 ,  3330 ,  3730 ,  4200 ,  4600 ,  5020 ,  5310 ,  5550 ,  5730 ,  5980 ,
   410 ,  470 ,  770 ,  820 ,  1060 ,  1490 ,  1610 ,  1970 ,  2260 ,  2700 ,  3110 ,  3470 ,  3760 ,  4180 ,  4370 ,  4620 ,  4760 ,  5000 ,
   430 ,  400 ,  540 ,  590 ,  810 ,  1130 ,  1300 ,  1680 ,  1980 ,  2390 ,  2820 ,  3150 ,  3560 ,  4130 ,  4250 ,  4630 ,  4880 ,  5210 ,
   680 ,  700 ,  940 ,  940 ,  1270 ,  1770 ,  1640 ,  2170 ,  2360 ,  2680 ,  2950 ,  3210 ,  3420 ,  3750 ,  3840 ,  4090 ,  4080 ,  4000 ,
   430 ,  450 ,  520 ,  560 ,  780 ,  990 ,  1200 ,  1530 ,  1790 ,  2140 ,  2480 ,  2800 ,  3050 ,  3420 ,  3750 ,  4010 ,  4280 ,  4650 ,
   1060 ,  1170 ,  1270 ,  1360 ,  1840 ,  2020 ,  2240 ,  2620 ,  3020 ,  3260 ,  3600 ,  3870 ,  4150 ,  4670 ,  4770 ,  4870 ,  5040 ,  4910 ,
   920 ,  880 ,  920 ,  1030 ,  1430 ,  1270 ,  1440 ,  1650 ,  1870 ,  3090 ,  3290 ,  3750 ,  3890 ,  4200 ,  4300 ,  4510 ,  4710 ,  4850 ,
   780 ,  870 ,  730 ,  1170 ,  1360 ,  2010 ,  2320 ,  2680 ,  3090 ,  3460 ,  3730 ,  3980 ,  4370 ,  4630 ,  4860 ,  5000 ,  5260 ,  5580 ,
   580 ,  620 ,  740 ,  780 ,  1050 ,  1570 ,  1760 ,  2210 ,  2540 ,  2950 ,  3300 ,  3680 ,  3980 ,  4330 ,  4710 ,  4970 ,  5200 ,  5530 ,
   310 ,  360 ,  490 ,  510 ,  830 ,  1290 ,  1490 ,  1760 ,  1970 ,  2190 ,  2440 ,  2720 ,  3010 ,  3360 ,  3490 ,  3550 ,  3620 ,  3760 ,
   330 ,  390 ,  470 ,  540 ,  730 ,  980 ,  1110 ,  1260 ,  1530 ,  1860 ,  2080 ,  2290 ,  2460 ,  2850 ,  2960 ,  3180 ,  3430 ,  3620 ,
   830 ,  880 ,  950 ,  1060 ,  1420 ,  1940 ,  2090 ,  2640 ,  2960 ,  3450 ,  3820 ,  4200 ,  4440 ,  4770 ,  5060 ,  5190 ,  5330 ,  5550 ,
   450 ,  510 ,  710 ,  750 ,  1210 ,  1570 ,  1790 ,  2210 ,  2590 ,  3060 ,  3490 ,  3940 ,  4220 ,  4640 ,  5000 ,  5320 ,  5510 ,  5780 ,
   460 ,  540 ,  680 ,  550 ,  830 ,  1270 ,  1470 ,  1750 ,  1960 ,  2400 ,  2700 ,  2940 ,  3210 ,  3580 ,  3730 ,  3840 ,  3940 ,  4100 ,
   500 ,  570 ,  700 ,  780 ,  1090 ,  1490 ,  1700 ,  2050 ,  2340 ,  2710 ,  3090 ,  3440 ,  3720 ,  4160 ,  4460 ,  4750 ,  4980 ,  5260 ,
   770 ,  740 ,  1020 ,  1120 ,  1270 ,  1780 ,  1890 ,  2410 ,  2750 ,  3200 ,  3600 ,  3950 ,  4290 ,  4600 ,  4890 ,  5140 ,  5350 ,  5660 ,
   220 ,  240 ,  290 ,  300 ,  500 ,  650 ,  720 ,  870 ,  990 ,  1070 ,  1250 ,  1420 ,  1510 ,  1770 ,  1950 ,  2100 ,  2320 ,  2620 ,
   760 ,  770 ,  1000 ,  1040 ,  1380 ,  1790 ,  1830 ,  2160 ,  2310 ,  2870 ,  3200 ,  3750 ,  3600 ,  4060 ,  4410 ,  4650 ,  4780 ,  4940 ,
   250 ,  320 ,  410 ,  400 ,  710 ,  960 ,  1300 ,  1800 ,  2120 ,  2430 ,  2820 ,  3210 ,  3500 ,  4020 ,  4290 ,  4620 ,  4870 ,  5240 ,
   1140 ,  1030 ,  1130 ,  1380 ,  1770 ,  1930 ,  2160 ,  2340 ,  2810 ,  3250 ,  3450 ,  3740 ,  3950 ,  4290 ,  4250 ,  4340 ,  4710 ,  4890 ,
   390 ,  510 ,  610 ,  630 ,  800 ,  1140 ,  1300 ,  1560 ,  1810 ,  2190 ,  2460 ,  2820 ,  3090 ,  3480 ,  3770 ,  4050 ,  4190 ,  4520 ,
   480 ,  540 ,  630 ,  650 ,  910 ,  1250 ,  1470 ,  1740 ,  1970 ,  2350 ,  2680 ,  2990 ,  3240 ,  3610 ,  3740 ,  4000 ,  4180 ,  4460 ,
   550 ,  590 ,  630 ,  630 ,  780 ,  1180 ,  1340 ,  1680 ,  1860 ,  2210 ,  2500 ,  2730 ,  3030 ,  3390 ,  3470 ,  3620 ,  3870 ,  4100 ,
   580 ,  670 ,  810 ,  870 ,  1110 ,  1580 ,  1660 ,  2030 ,  2270 ,  2690 ,  3070 ,  3410 ,  3690 ,  4030 ,  4320 ,  4680 ,  4850 ,  5230 ,
   440 ,  490 ,  1190 ,  1330 ,  1990 ,  2210 ,  2230 ,  2840 ,  3130 ,  3780 ,  3850 ,  4070 ,  4070 ,  4400 ,  4530 ,  4850 ,  5130 ,  5250 ,
   530 ,  630 ,  690 ,  690 ,  980 ,  1350 ,  1500 ,  1810 ,  2060 ,  2300 ,  2540 ,  2820 ,  3030 ,  3380 ,  3540 ,  3710 ,  3860 ,  4030 ,
   450 ,  580 ,  860 ,  890 ,  1180 ,  1400 ,  1600 ,  1900 ,  2190 ,  2530 ,  2870 ,  3240 ,  3470 ,  3860 ,  4000 ,  4230 ,  4370 ,  4580 ,
   340 ,  410 ,  500 ,  540 ,  950 ,  1190 ,  1330 ,  1710 ,  1970 ,  2320 ,  2580 ,  2840 ,  2990 ,  3290 ,  3490 ,  3780 ,  3800 ,  3920 ,
   610 ,  700 ,  810 ,  550 ,  670 ,  1220 ,  1240 ,  1570 ,  1870 ,  2090 ,  2270 ,  2480 ,  2770 ,  3090 ,  3160 ,  3290 ,  3290 ,  3300 ,
   530 ,  580 ,  720 ,  750 ,  1060 ,  1440 ,  1610 ,  1970 ,  2250 ,  2670 ,  3010 ,  3370 ,  3620 ,  4000 ,  4250 ,  4490 ,  4660 ,  4920 ,
